,Case Number,Type,Country,Gender,Fatality
0,2016.09.18.c,Unprovoked,USA,M,N
1,2016.09.18.b,Unprovoked,USA,M,N
2,2016.09.18.a,Unprovoked,USA,M,N
3,2016.09.17,Unprovoked,AUSTRALIA,M,N
4,2016.09.15,Unprovoked,AUSTRALIA,M,N
5,2016.09.15.R,Boat,AUSTRALIA,Unknown,N
6,2016.09.11,Unprovoked,USA,M,N
7,2016.09.07,Unprovoked,USA,F,N
8,2016.09.06,Unprovoked,NEW CALEDONIA,M,Y
9,2016.09.05.b,Unprovoked,USA,F,N
10,2016.09.05.a,Unprovoked,AUSTRALIA,M,N
11,2016.09.04,Unprovoked,USA,M,N
12,2016.09.01,Unprovoked,USA,M,N
13,2016.08.29.b,Unprovoked,USA,M,N
14,2016.08.29.a,Unprovoked,USA,M,N
15,2016.08.27,Unprovoked,REUNION,M,N
16,2016.08.25,Unprovoked,USA,M,N
17,2016.08.07,Unprovoked,BAHAMAS,M,N
18,2016.08.06,Unprovoked,USA,M,N
19,2016.08.04,Unprovoked,USA,M,N
20,2016.07.29,Unprovoked,SPAIN,M,N
21,2016.07.28.R,Unprovoked,CHINA,M,N
22,2016.07.28,Boat,AUSTRALIA,M,N
23,2016.07.27,Provoked,USA,M,N
24,2016.07.26,Unprovoked,AUSTRALIA,M,N
25,2016.07.24,Unprovoked,JAPAN,M,N
26,2016.07.23.b,Unprovoked,AUSTRALIA,M,N
27,2016.07.23.a,Unprovoked,BAHAMAS,M,N
28,2016.07.20,Provoked,AUSTRALIA,M,N
29,2016.07.17,Boat,USA,Unknown,N
30,2016.07.16.b,Unprovoked,USA,F,N
31,2016.07.16.a,Unprovoked,USA,F,N
32,2016.07.15,Unprovoked,USA,M,N
33,2016.07.14.4,Unprovoked,BAHAMAS,M,N
34,2016.07.08.R,Unprovoked,SPAIN,F,N
35,2016.07.08,Boat,USA,M,N
36,2016.07.07.b,Provoked,USA,M,N
37,2016.07.07.a,Boat,USA,M,N
38,2016.07.06,Unprovoked,USA,F,N
39,2016.07.04,Provoked,AUSTRALIA,M,N
40,2016.06.27,Unprovoked,USA,M,N
41,2016.06.25,Unprovoked,USA,M,N
42,2016.06.24,Unprovoked,COLUMBIA,M,N
43,2016.06.23,Unprovoked,SOUTH AFRICA,M,N
44,2016.06.21.b,Unprovoked,USA,M,N
45,2016.06.21.a,Unprovoked,USA,M,N
46,2016.06.15.b,Unprovoked,USA,M,N
47,2016.06.15.a,Provoked,AUSTRALIA,M,N
48,2016.06.14,Unprovoked,USA,F,N
49,2016.06.11,Unprovoked,USA,M,N
50,2016.06.07,Invalid,USA,M,N
51,2016.06.05.b,Unprovoked,USA,M,N
52,2016.06.05.a,Unprovoked,AUSTRALIA,F,Y
53,2016.06.04,Unprovoked,EGYPT,M,N
54,2016.06.02.b,Unprovoked,AUSTRALIA,M,Unknown
55,2016.06.02.a,Unprovoked,NEW CALEDONIA,M,N
56,2016.05.31,Unprovoked,AUSTRALIA,M,Y
57,2016.05.29.b,Unprovoked,USA,F,N
58,2016.05.29.a,Unprovoked,USA,M,N
59,2016.05.22,Unprovoked,USA,F,N
60,2016.05.21.b,Unprovoked,USA,F,N
61,2016.05.21.a,Unprovoked,USA,F,N
62,2016.05.18,Unprovoked,USA,M,N
63,2016.05.15,Provoked,USA,F,N
64,2016.05.03,Unprovoked,USA,M,N
65,2016.05.02,Provoked,NEW ZEALAND,M,N
